consent_given,screeningQ1,screeningQ2,age,gender,startingValues,rewardVec,decay_rate,replenishRates,travel_duration,feedback_duration,blk_number,blk_type,meanRewardBlock,currentPatchPosition,patchValueLeft,patchValueTop,patchValueRight,patchReplenishLeft,patchReplenishTop,patchReplenishRight,currentPatchReplenishRate,patchValueSlow,patchValueMedium,patchValueFast,patchReplenishSlow,patchReplenishMedium,patchReplenishFast,decisionType,trialPhase,patch_selection_key,patch_selection_RT,actual_rew_gain,rew_fbk_displayed,blk_points,blk_actions,exploit_phase_key,exploit_phase_RT,num_exploit_actions,meanRewardEntireExperiment,total_points,total_actions,actions_remaining,timeInPatch_seconds_,task_instruc_resp_keys,task_instruc_resp_rt,trials_welcome_thisRepN,trials_welcome_thisTrialN,trials_welcome_thisN,trials_welcome_thisIndex,trials_welcome_ran,session,date,expName,psychopyVersion,OS,frameRate,slider_response,slider_rt,trials_screening_thisRepN,trials_screening_thisTrialN,trials_screening_thisN,trials_screening_thisIndex,trials_screening_ran,demo_resp_keys,demo_resp_rt,trials_demographics_thisRepN,trials_demographics_thisTrialN,trials_demographics_thisN,trials_demographics_thisIndex,trials_demographics_ran,key_resp_keys,key_resp_rt,trials_instructions_thisRepN,trials_instructions_thisTrialN,trials_instructions_thisN,trials_instructions_thisIndex,trials_instructions_ran,rewardVectorToManipulate,blk_instruc_resp_keys,blk_instruc_resp_rt,blk_loop_thisRepN,blk_loop_thisTrialN,blk_loop_thisN,blk_loop_thisIndex,blk_loop_ran,blk_loop_order,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,trials_order,sel_resp_keys,sel_resp_rt,exploit_loop_thisRepN,exploit_loop_thisTrialN,exploit_loop_thisN,exploit_loop_thisIndex,exploit_loop_ran,exploit_loop_order,exploit_resp_keys,exploit_resp_rt,post_blk_resp_keys,post_blk_resp_rt,closing_resp_keys,closing_resp_rt,participant
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,33.139.365,0,0,0,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,4.627.135,1,0,1,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,243.788,2,0,2,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,490.882,3,0,3,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,1.559.794,4,0,4,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,286.996,5,0,5,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,23.415.915,6,0,6,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,18.773.935,7,0,7,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,10.697.685,8,0,8,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,space,4.205.335,9,0,9,0,1,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"[100,100,100]",NaN,0.05,"[0.1,0.15,0.05]",1,01. May,1,1,0,1,72,72,77,0.1,0.15,0.05,0.1,72,77,72,0.15,0.05,0.1,1,1,f,173.549,0,0,0,1,N/A,0,0,0,0,1,199,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"[72,72,77]",return,1.263.549,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,0,1,74,76,78,0.1,0.15,0.05,0.1,76,78,74,0.15,0.05,0.1,0,2,0,0,0,0,0,1,N/A,0,0,0,0,1,199,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,f,173.549,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,0,1,74,76,78,0.1,0.15,0.05,0.1,76,78,74,0.15,0.05,0.1,2,3,0,0,74,74,0,1,space,115.656,0,0,0,1,199,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,37,1,74,79,79,0.1,0.15,0.05,0.1,79,79,74,0.15,0.05,0.1,0,4,0,0,74,74,74,2,0,0,0,37,74,2,198,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,space,115.656,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,0,0,0,0,1,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,37,1,71,79,79,0.1,0.15,0.05,0.1,79,79,71,0.15,0.05,0.1,2,3,0,0,71,71,74,2,space,0.216575,0,37,74,2,198,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,48,1,71,82,80,0.1,0.15,0.05,0.1,82,80,71,0.15,0.05,0.1,0,4,0,0,71,71,145,3,0,0,0,48,145,3,197,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,space,0.216575,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,1,0,1,0,1,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,48,1,64,82,80,0.1,0.15,0.05,0.1,82,80,64,0.15,0.05,0.1,2,3,0,0,64,64,145,3,space,0.83394,0,48,145,3,197,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,52,1,64,85,81,0.1,0.15,0.05,0.1,85,81,64,0.15,0.05,0.1,0,4,0,0,64,64,209,4,0,0,0,52,209,4,196,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,space,0.83394,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,2,0,2,0,1,NaN,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,52,1,54,85,81,0.1,0.15,0.05,0.1,85,81,54,0.15,0.05,0.1,2,3,0,0,54,54,209,4,space,0.38659,0,52,209,4,196,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,,NaN,,NaN,,NaN,2
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,,1,1,52,1,54,87,82,0.1,0.15,0.05,0.1,87,82,54,0.15,0.05,0.1,0,4,0,0,54,54,264,5,0,0,0,52,264,5,195,0,,,NaN,NaN,NaN,NaN,NaN,1,2020-11-12_18h32.43.233,Pirates_expt3,02.01.20,Win32,60,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,"",,,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,space,0.38659,,NaN,,NaN,2
